Freq.	V(ampli:n003)	V(ampli:n010)
8.61077929219816e+001	(3.07914587680133e+001dB,1.79594685193965e+002°)	(3.27164024329714e+001dB,1.79998142950005e+002°)
8.91443776815244e+001	(3.07913575707469e+001dB,1.79468770203241e+002°)	(3.27163041778553e+001dB,1.79886455469339e+002°)
9.22880473713504e+001	(3.07912186456291e+001dB,1.79342220450174e+002°)	(3.27161684086208e+001dB,1.79774634952725e+002°)
9.55425783333705e+001	(3.07910413359517e+001dB,1.79214885002725e+002°)	(3.27159944766120e+001dB,1.79662548159258e+002°)
9.89118800819056e+001	(3.07908247895697e+001dB,1.79086612031700e+002°)	(3.27157815506326e+001dB,1.79550061574913e+002°)
1.02400000000002e+002	(3.07905679669645e+001dB,1.78957248641972e+002°)	(3.27155286133409e+001dB,1.79437041265434e+002°)
1.06011128201359e+002	(3.07902696505561e+001dB,1.78826640701594e+002°)	(3.27152344563754e+001dB,1.79323352728194e+002°)
1.09749602563718e+002	(3.07899284106107e+001dB,1.78694632670409e+002°)	(3.27148976747497e+001dB,1.79208860744319e+002°)
1.13619913939749e+002	(3.07895426129187e+001dB,1.78561067429447e+002°)	(3.27145166603899e+001dB,1.79093429232082e+002°)
1.17626711551698e+002	(3.07891104247091e+001dB,1.78425786102046e+002°)	(3.27140895941179e+001dB,1.78976921094556e+002°)
1.21774808576280e+002	(3.07886297737419e+001dB,1.78288627887005e+002°)	(3.27136144377886e+001dB,1.78859198077272e+002°)
